category,product_title,product_price,product_rating,product_review_count,product_url,review_rating,review_date,review_title,review_content
Smart Locks and Entry,"TP-Link Tapo Smart Door Lock, Deadbolt | Keyless Entry, Fingerprint Recognition, Touchscreen Keypad & in-App Monitoring with Scheduled Access | 1-Year Rechargeable Battery | BHMA Grade 2 | Tapo DL110",114.,4.5,357,https://us.amazon.com/dp/B0DKQQ6Z7Q,5.0,"June 15, 2025",5.0 out of 5 starsBest Smart Lock Ever – A Total Upgrade from Nest x Yale!,"This smart lock is hands-down my best purchase of 2025 so far, and it’s made such a difference in my daily life! I was fed up with my Nest x Yale lock, which gave me constant problems—connectivity issues, finicky unlocking, you name it. This lock is a complete game-changer, and I’m already planning to buy more for my back door and upstairs patio.The installation was a breeze, taking me less than 20 minutes with just a screwdriver. It’s so intuitive to set up, even for someone who’s not super tech-savvy. The lock offers so many ways to use it—keypad, app, fingerprint, or even a physical key for backup—which makes it incredibly versatile for my family’s needs. It locks with ease every time, giving me peace of mind knowing my home is secure.The app is a standout: clean, user-friendly, and reliable. I can lock or unlock my door from anywhere, check access history, or share temporary codes with guests without any hassle. It’s everything I wanted the Nest x Yale to be but never was.I genuinely feel safer with this lock, and that’s priceless. It’s sleek, modern, and blends perfectly with my door’s aesthetic. I’ve recommended it to everyone I know, and I’m confident anyone who tries it will love it as much as I do. If you’re looking for a smart lock that’s easy to install, secure, and intuitive, this is the one. 10/10, no regrets!Read more"
Smart Locks and Entry,"TP-Link Tapo Smart Door Lock, Deadbolt | Keyless Entry, Fingerprint Recognition, Touchscreen Keypad & in-App Monitoring with Scheduled Access | 1-Year Rechargeable Battery | BHMA Grade 2 | Tapo DL110",114.,4.5,357,https://us.amazon.com/dp/B0DKQQ6Z7Q,5.0,"June 5, 2025",5.0 out of 5 starsExcellent smart lock! Highly recommend!,"LOVE this lock! Super easy installation and programming. Sleek look. Smooth operation. Remote access/control. You can assign codes on the fly, and choose whether they work all of the time or for just certain periods.I thought having a keyless car was great, but a keyless house is even better! No more fumbling for keys, the kids can unlock the door without waiting for one of the grownups to dig out a key and muscle their way to the front of the line. Single-touch locking, so leaving is a breeze - and verbal confirmation of lock status means no second guessing.Fingerprint reader works flawlessly, touch pad is responsive and doesn’t show prints, app is solid and loads quickly. We have a Reolink doorbell so we’ve disabled the Tapo one, so I can’t speak to that.Only improvement I’d like to see is the ability to have the door lock at a certain time (if it isn’t already). It would be extra peace of mind if I knew that the door would lock itself at 9:30pm every night, just in case we forget. I’d also like to be able to choose a timeframe when the auto-lock feature they currently have is active. As is, you can have the door auto-lock a certain amount of time after it’s unlocked, but it applies all of the time. I’d like to be able to set parameters, such as “between the hours of 9:30pm and 7am, auto-lock 3 minutes after unlocking” - again, just in case one of the dogs needs to go out and upon letting it back in, the door doesn’t get re-locked. It would be nice to know there is a backup.Read more"
Smart Locks and Entry,"TP-Link Tapo Smart Door Lock, Deadbolt | Keyless Entry, Fingerprint Recognition, Touchscreen Keypad & in-App Monitoring with Scheduled Access | 1-Year Rechargeable Battery | BHMA Grade 2 | Tapo DL110",114.,4.5,357,https://us.amazon.com/dp/B0DKQQ6Z7Q,5.0,"October 7, 2025",5.0 out of 5 starsFingerprint Recognition is Awesome,"This lock is great. I've had it installed on my back door at home for about six months now and have not had any issues with either one. The battery life is pretty impressive too, as i haven't needed to recharge them yet. It came highly recommended by a friend who has several of these installed in their house (he's got like 10 kids so you know he needs all the help he can get). I really love not having to carry around keys anymore and the fingerprint recognition is super fast, even when my hands are wet or dirty. Plus, it's nice that i don't have to worry about losing my keys now either. You just put your finger on the scanner and bam, you're in.The app works well too, which is a bonus since I can lock and unlock the doors from anywhere. It's handy when I forget if I locked up or not, or need to let someone in while I'm away. One time i even used it to scare my neighbor by locking him out of his own house (he was trying to borrow some sugar). The app is great for that sort of thing, although you do have to be careful not to lock yourself out too. You can also set up different codes for guests or family members, which is useful if you want to give them access but don't want to share your main code (or fingerprint) with them. I keep meaning to try the bluetooth connection as well, just haven't gotten around to it yet. The lock does have a backup key slot in case all else fails, although i doubt i'll ever need to use it given how reliable everything else is.I would definitely recommend this smart door lock to anyone looking for an upgrade from their old-fashioned locks. It's worth the investment and makes life so much easier. The only thing I wish they had included was some kind of manual override if the battery dies, but you can buy a separate power bank that works with it online (just make sure to get one that's compatible).Read more"
Smart Locks and Entry,"TP-Link Tapo Smart Door Lock, Deadbolt | Keyless Entry, Fingerprint Recognition, Touchscreen Keypad & in-App Monitoring with Scheduled Access | 1-Year Rechargeable Battery | BHMA Grade 2 | Tapo DL110",114.,4.5,357,https://us.amazon.com/dp/B0DKQQ6Z7Q,4.0,"March 27, 2025","4.0 out of 5 starsGood option, especially if you are already into the Tapo system.","This was a good choice for me, especially since I have several other Tapo products. All the Tapo products are a good value in my opinion, including the app which is very good. This door lock is working well so far (a month or so.) The fingerprint sensor works well. You can store many fingerprints and codes and manage them all from the app. You can add codes anywhere from the app but of course you have to be at the lock to add fingerprints. The only negative is that I'm not usually a fan of proprietary batteries so time will tell about that issue. It does have a usb port on the outside to temporarily power the lock in a pinch. It connects to the included Tapo hub which in turn, connects to your wifi. Connecting to the hub instead of the wifi might use less power, the hub plugs into a wall outlet.Read more"
Smart Locks and Entry,"TP-Link Tapo Smart Door Lock, Deadbolt | Keyless Entry, Fingerprint Recognition, Touchscreen Keypad & in-App Monitoring with Scheduled Access | 1-Year Rechargeable Battery | BHMA Grade 2 | Tapo DL110",114.,4.5,357,https://us.amazon.com/dp/B0DKQQ6Z7Q,5.0,"September 10, 2025",5.0 out of 5 starsExcellent and a bargain,I installed a wyze door lock gave up on me after year. Jamming continously and batteries needed replacing every few months. I was then looking at the Yale and other expensive brands. I like the idea of a rechargeable battery so opted for this. I am glad I did it the ease of installation the various ways to unlock and the setting options is just amazing. It works perfectly in home of 5. Just trust me in comparison to Wyze this is on another level. Using it for a week battery level still at 100 per centRead more
Smart Locks and Entry,"Wyze Palm Lock, Smart Door Lock with Palm Vein Recognition, Keyless Entry Smart Locks for Front Door, Keypad, Auto Lock, Dual Battery, Wi-Fi, Works with Alexa & Google, BHMA, IP53, Mechanical Key",129.,4.4,55,https://us.amazon.com/dp/B0FBWP41LZ,5.0,"September 22, 2025",5.0 out of 5 stars⭐️⭐️⭐️⭐️⭐️ Palm Recognition Works Perfectly – Love This Lock!,"⭐️⭐️⭐️⭐️⭐️ Palm Recognition Works Perfectly – Love This Lock!I couldn’t be happier with the Wyze Palm Lock. Installation was straightforward, and once it was set up, it worked flawlessly. What I love most is the palm recognition feature. It feels futuristic but also super practical—no more fumbling for keys or even pulling out my phone. I just place my palm on the lock and it opens instantly.The recognition is fast, accurate, and works every time without hassle. It’s been a game-changer for convenience, especially when my hands are full. The build feels solid, the app is easy to use, and I feel confident in the security it provides.Overall, I really like this lock and highly recommend it to anyone who wants smart, reliable, and effortless entry.Read more"
Smart Locks and Entry,"Wyze Palm Lock, Smart Door Lock with Palm Vein Recognition, Keyless Entry Smart Locks for Front Door, Keypad, Auto Lock, Dual Battery, Wi-Fi, Works with Alexa & Google, BHMA, IP53, Mechanical Key",129.,4.4,55,https://us.amazon.com/dp/B0FBWP41LZ,5.0,"October 1, 2025",5.0 out of 5 starsBuy it! It's great!,"This is great. No fumbling with your keys anymore. Just put up your palm (left or right, it remembers both) and the door unlocks. Or put in a code that you set, or use the key in the keyhole. I'm going to buy another one for the backdoor. Battery life is great, it has a backup battery that powers the lock while you charge the main battery. It was easy to install, if you're handy with that kind of thing. It adjusts to fit different bore hole lenghts.Read more"
Smart Locks and Entry,"Wyze Palm Lock, Smart Door Lock with Palm Vein Recognition, Keyless Entry Smart Locks for Front Door, Keypad, Auto Lock, Dual Battery, Wi-Fi, Works with Alexa & Google, BHMA, IP53, Mechanical Key",129.,4.4,55,https://us.amazon.com/dp/B0FBWP41LZ,4.0,"September 19, 2025",4.0 out of 5 starsbattery issues with screen doors,"Pros:1) Install / app setup / initial palm scanning all straightforward and worked without a hitch.2) unlocks quickly, not instant, but probably faster than the thumb print deadbolt I was using previously.3) If you have toddlers this is great, I set up 3 kids under 6 and they were all successfully able to unlock the door on their own, previously had a keypad \ thumbprint lock and only the oldest could use, so that's pretty cool and they were thrilled.ConsThe battery drained overnight, despite all the pros may have to return this. I just installed this yesterday afternoon so will update if things change. I fully charged the main battery before install, there is also a backup battery, but its not chargeable on its own, it must be a parasitic draw on the main battery for the first charge, which may be a factor. I noticed by about 8pm after I had scanned the family and everyone had fun testing it out the battery was down to about 68%. I figured it was probably due to the backup charging and possibly the setup \ initial palm scanning, but woke up to it totally drained. There are 3 battery modes, auto - lock wakes up when within 2-3 feet, battery saver - lock wakes up when with 5-10 inches, and extreme power saver - must tap display to wake up. It was initially in auto, will try today in battery saver and see if that makes a difference.One thing to note is that this door does have a screen door in front of it, guessing the lock kept itself awake because the screen door was in proximity, so unlikely the battery saver mode will help. Going to the extreme saver mode where you have to tap to wake up would result in losing out on the coolest feature, just walking up and waving palm to unlock, if have to tap then wave thumbprint would probably be faster, we'll see.update 9/22/25 - adding a star, charged up the battery (which took about 5 hours) and changed setting to battery saver on Friday. By Saturday morning battery read 85% and has stayed there through to today, Monday. This might have solved the problem, will update in a month or so. The battery takes so long to charge that I wouldn't want to do it more than once every couple months, so still keeping an eye on the return window.Update 9/28: drained again, weird this time as I was monitoring reported battery during the week which stayed at around 85%, then just drained overnight again. Not sure about this product, love the features but battery life isn't sufficient.Read more"
Smart Locks and Entry,"Wyze Palm Lock, Smart Door Lock with Palm Vein Recognition, Keyless Entry Smart Locks for Front Door, Keypad, Auto Lock, Dual Battery, Wi-Fi, Works with Alexa & Google, BHMA, IP53, Mechanical Key",129.,4.4,55,https://us.amazon.com/dp/B0FBWP41LZ,5.0,"October 11, 2025",5.0 out of 5 starsExcellent. Heavy duty. Reliable and easy to install. Love it!,I LOVE this lock assembly! Palm reader works flawlessly. Much heavier duty locking mechanisms than the original deadbolt. Extremely easy to install and instructions are well explained. This lock has been working perfectly for several weeks and I have no reason to believe it won’t keep working properly for years to come.Read more
Smart Locks and Entry,"Wyze Palm Lock, Smart Door Lock with Palm Vein Recognition, Keyless Entry Smart Locks for Front Door, Keypad, Auto Lock, Dual Battery, Wi-Fi, Works with Alexa & Google, BHMA, IP53, Mechanical Key",129.,4.4,55,https://us.amazon.com/dp/B0FBWP41LZ,5.0,"September 29, 2025",5.0 out of 5 starsGreat features on this lock!,"I've had Wyze cameras for a few years now as well as a few other products and never had issues.  Needed to replace my electronic deadbolt after 15 years and found this at the perfect time.  Easy to install, palm reader works well in sunny areas, touchpad works well too.  Battery was charged, have been using it for almost 2 weeks, and only down about 3%.Only complaint is that I can't use my existing keys to rekey the new lock the way other locks can be done.Read more"
